City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
82,Saldanha,90,ZA,10/29/2020,93,59.7,30.79,45,4.47
83,Port Alfred,0,ZA,10/29/2020,28,32.87,59.22,32,6.93
84,Omboue,100,GA,10/29/2020,95,69.3,139.9,2.28,2.28
85,New Norfolk,69,AU,10/29/2020,94,69.38,178.42,18.59,16.11
86,Bambous Virieux,100,MU,10/29/2020,97,65.98,60.31,36.03,13.24
87,Grand River South East,0,MU,10/29/2020,63,70.66,23.68,30.2,28.86
88,Port Alfred,0,ZA,10/29/2020,85,71.97,102.5,-10.44,5.91
89,Southbridge,100,NZ,10/29/2020,81,-0.91,122.88,77.92,6.29
90,Kununurra,90,AU,10/29/2020,100,29.39,106.52,63,4.47
91,Kisiwani,97,TZ,10/29/2020,96,73.51,80.55,14.59,27.04
92,New Norfolk,100,AU,10/29/2020,92,50.68,156.12,40.37,39.26
93,Albany,20,AU,10/29/2020,54,41.29,141.22,59,9.17
94,Grand River South East,0,MU,10/29/2020,85,71.97,102.5,-10.44,5.91
95,Batemans Bay,0,AU,10/29/2020,67,14.2,43.32,79.56,1.12
96,Albany,100,AU,10/29/2020,96,51.31,119.61,27.36,16.4
97,Lolua,75,TV,10/29/2020,78,69.49,88.4,14,29.08
98,Bengkulu,75,ID,10/29/2020,80,20.15,92.9,79.99,6.46
99,Hermanus,100,ZA,10/29/2020,90,68.75,161.3,7.74,5.12
100,Busselton,20,AU,10/29/2020,72,78.22,15.64,17.6,1.12
101,Albany,60,AU,10/29/2020,69,11.28,49.18,80.35,5.14
102,Umzimvubu,21,ZA,10/29/2020,84,64.57,143.2,-0.8,2.64
103,Taolanaro,94,MG,10/29/2020,74,52.42,60.34,37.76,8.84
104,Kaitangata,100,NZ,10/29/2020,92,50.68,156.12,40.37,39.26
105,Karratha,20,AU,10/29/2020,45,33.36,129.55,68,3.36
106,Saldanha,50,ZA,10/29/2020,94,59.18,61.86,32.67,9.8
107,Broken Hill,81,AU,10/29/2020,79,18.8,110.4,78.49,15.68
108,Beloha,2,MG,10/29/2020,55,38.98,117.38,60.8,4.47
109,Bluff,100,NZ,10/29/2020,69,51.02,45.7,44.01,1.99
110,Cape Town,87,ZA,10/29/2020,91,68.05,39.51,33.53,17.92
111,Albany,0,AU,10/29/2020,85,71.97,102.5,-10.44,5.91
112,Port Macquarie,0,AU,10/29/2020,57,24.09,32.91,72.32,3.11
113,Victoria,100,SC,10/29/2020,70,52.86,46.09,41.68,9.17
114,Kirakira,20,SB,10/29/2020,72,78.22,15.64,17.6,1.12
115,Bengkulu,4,ID,10/29/2020,35,9.7,10.27,74.97,3.91
116,Busselton,45,AU,10/29/2020,63,22.29,114.16,75.99,3
117,Bur Gabo,26,SO,10/29/2020,52,38.93,100.45,44.6,2.44
118,Kupang,0,ID,10/29/2020,41,40.81,114.88,48.61,18.66
119,Henties Bay,58,NA,10/29/2020,59,25.12,114.3,74.37,4.45
120,Carnarvon,97,AU,10/29/2020,96,73.51,80.55,14.59,27.04
121,Luderitz,0,NA,10/29/2020,46,38.78,63.88,32,4.7
122,Tamasane,32,BW,10/29/2020,51,41.76,86.15,45.73,5.86
